|text|tensor|score
0|Хотелось долго плеваться после того как я с трудом осилил половину книги. На этом моё увлечения творчеством Никитина было закончено. Я даже не захотел читать уже купленную книгу ?Изгой? из любимого некогда цикла Трое из леса.|[ -9.054272  -9.319942  -9.635212 ... -10.543984 -10.548889 -10.546622]|1
1|ИМХО, в серии о Свароге Бушков исписался. Если первые две книги еще читать интересно, то остальное...... В общем, Сварога пора убивать.|[-8.216762  -9.4318695 -8.735605  ... -9.522849  -9.530652  -9.526994 ]|1
2|"Много был наслышан об этом авторе и вот взялся прочесть. Сказать, что книга разочаровала - ничего не сказать. Смысловые ляпы на каждом шагу (например, команда ""огонь"" при стрельбе из луков в мире где нет индивидуального огнестрельного оружия и т.д.), громоздкий вычурный язык, отсутствие концовки, путешествие неизвестно куда и неизвестно зачем, слабая мотивация поступков героев. Книга гораздо ниже среднего. Теперь я начинаю понимать, почему многие не любят фэнтези."|[-11.363256  -9.615983  -9.191566 ... -11.212969 -11.233138 -11.223664]|1
3|Да, тяжело читать безграмотную фэнтези. Хотя, конечно, приступы гомерического смеха спасают ситуацию. Когда потомственный дворянин называет своего вассала сюзереном, а другой потомственый дворянин этого не замечает, начинаешь сомневаться в здравом смысле автора. Плохо, очень плохо.|[-10.573877  -9.74413   -8.988741 ... -10.392489 -10.401731 -10.397379]|1
4|Попытка свести сюжет предыдущих книг в единое целое. Где-то треть книги диалогов нет вообще, есть только описание странствия вора по подземельям. Мотивация у героев, как всегда отсутствует. Возможности магии приуменьшены. Если в первой книге ученица мага смогла залить овраг огнём, то в этой книге все вместе взятые архимаги не могут эффективно преломить ход битвы, размениваясь по мелочам. Олени, которые мчатся через лесную чащу быстрее, чем лошади по тракту меня умилили. Аффтор жжет.|[-8.898616  -8.333161  -7.2868557 ... -9.272973  -9.280133  -9.2767725]|1
5|"похоже, что писал человек, который обижен на весь мир и он ничего не хочет делать для того, чтобы что-то изменить, и все, на что хватает его ""сил"", это только ныть и жаловаться! вобщем ничего хуже и глупее, по-моему, не читала."|[-10.7638   -10.570548 -11.044527 ... -12.627404 -12.648948 -12.63882 ]|1
6|"Моя оценка - ниже плинтуса. Хотя многие хвалили. Но большинство хвалебных отзывов, которые мне встречались, выглядели примерно так: ""Вау! Какая достоверность! Ах, как это похоже на правду!"", а вот о том, что это худ. книга как то забывалось. Люди ей восхищались как энциклопедией, не обращая внимание ни на отсутствие смысловой начинки, ни на идейную пустоту... Ни на безверие автора, пишущего о вере."|[ -9.124523  -8.861119  -9.260068 ... -10.213395 -10.226827 -10.220542]|1
7|"Приобрел одну книгу ""Воители Руси"" хуже не бывает! Выкинул бы, да денег потраченных жалко. Таким бездарям только на ""Союз пЕсателей"" к Бачинскому и Стиллавину!"|[-6.437561  -6.316894  -5.6825614 ... -7.362566  -7.363535  -7.3630953]|1
8|как делец, зарабатывающий на своих книгах, Браун уважение вызывает. Но как Писатель - увольте. Это жвачка, сдобренная в качестве вкусовых добавок ароматами тайн и Таинственных Обществ... Да, у него есть интрига. но почему-то эта интрига у него - шаблонна во всех книгах. И, скажите честно - вы хотя бы одну книгу Бруна перечитали много раз с тем же удовольствием? Или, когда пружины интриги все известны, читать стало неинтересно?|[ -8.811501  -8.902655  -8.44706  ... -10.025166 -10.035583 -10.030709]|1
9|Второй раз читать не смог. ибо кроме интриги в книге нет НИЧЕГО: ни хорошего языка, ни каких-либо мыслей, вызывающих желание подумать. Жвачка. Один раз пожевал, а второй раз уже не вкусно.|[ -9.086023  -9.954722  -9.945814 ... -11.458796 -11.46725  -11.463291]|1
10|Жвачка на один раз. Хоть и весьма захватывающа. но после прочтения стойкое ощущение, что тебя заставили купить макулатуру за большие деньги.|[ -9.412669 -10.125017  -8.692614 ... -10.311433 -10.324927 -10.318582]|1
11|просто кошмарная книга|[-13.161701 -12.520155 -11.972013 ... -14.701902 -14.736987 -14.720492]|1
12|Просто еще один некачественный коммерческий проект на русском рынке. Читатель книг - это не быдло, и ему всякую дрянь (под видом агрессивного гламурчика) не подсунешь.|"[-10.096727   -9.296892   -7.8863373 ...  -9.991313  -10.001818
  -9.996896 ]"|1
13|На мой взгляд все произведения г.Климова просто отвратительны. Его антисемитизм имеет какие-то явно извращенческие формы, что наводит на мысль о возможных сексуальных проблемах автора, а также на крайне низкий культурный уровень, как самого г.Климова, так и его возможных поклонников.|[ -8.154029  -8.251155  -9.244242 ... -10.16416  -10.177577 -10.171287]|1
14|Ненаучная фантастика|[-7.7672844 -5.2953453 -2.503728  ... -6.303265  -6.3121967 -6.3079796]|1
15|Бред... даже слов нет)|[-10.327407 -11.432524  -8.625569 ... -11.529346 -11.544175 -11.537174]|1
16|Самая скучная книга из всех, что Фредерик написал. Видимо, Бегбедер её в туалете писал.|[-8.036947  -8.70138   -7.7975745 ... -9.13134   -9.13489   -9.1332445]|1
